"Res_Pct"	"Exh_Pct"	"Blood_Pct"	"gene"	"CLsPass"	"LcmPass"	"CancerPass"	"Marker"	"Cell.Type"	"Cell_Marker"	"Marker_Genes"	"HighInStroma"
7.76082220819642	8.22604786491984	4.63466293702167	"TYMP"	TRUE	FALSE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--TYMP"	FALSE
1.28497232372667	8.18668261767591	6.24325287107064	"FOXP3"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--FOXP3"	FALSE
1.14859765445848	7.86559992944501	0	"ZBTB32"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--ZBTB32"	FALSE
7.1048886307052	7.66074654520897	6.69212946432767	"CD7"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--CD7"	FALSE
3.31753319455101	7.5679411132498	2.96430372883263	"ENTPD1"	FALSE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--ENTPD1"	FALSE
6.54495544012017	7.52973862372119	6.10185469944302	"IL21R"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--IL21R"	FALSE
6.96995126229167	7.28925124225285	2.30361880432334	"IL12RB2"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--IL12RB2"	FALSE
0.604314110956404	7.25447601592437	6.73646947199889	"IKZF2"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--IKZF2"	FALSE
3.63203899780237	7.13552165146712	2.81031249207438	"HAVCR2"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--HAVCR2"	FALSE
6.25089434005085	6.40969772128984	5.94265159332838	"MAST4"	TRUE	FALSE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--MAST4"	FALSE
0.277206391488108	6.08843525229163	5.17303959622691	"F5"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--F5"	FALSE
4.37754772456626	6.00697167726013	5.10324311768256	"HLA-DQA1"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--HLA-DQA1"	FALSE
4.37307768324815	5.98599962154514	3.822214520711	"MZB1"	TRUE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--MZB1"	FALSE
2.62194992587692	5.97721123732024	3.86899765909508	"FNDC3B"	FALSE	TRUE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--FNDC3B"	TRUE
0.675086500938465	5.7381529201574	0	"IL1R1"	TRUE	FALSE	TRUE	"Exh"	"CD4"	"CD4_Exh"	"CD4_Exh--IL1R1"	TRUE
